"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_TGF_BETA_SIGNALING",2.28120944144027e-08,2.85151180180033e-07,0.73376198835648,0.583666395682166,2.2490928435042,80,"c(`106572` = ""Rab31"", `65112` = ""Pmepa1"", `21872` = ""Tjp1"", `12577` = ""Cdkn1c"", `17127` = ""Smad3"", `12387` = ""Ctnnb1"", `11798` = ""Xiap"", `12156` = ""Bmp2"", `75788` = ""Smurf1"", `11853` = ""Rhoc"", `20743` = ""Sptbn2"", `20481` = ""Ski"", `11852` = ""Rhob"", `21828` = ""Thbs4"", `16480` = ""Jup"", `11848` = ""Rhoa"", `20482` = ""Skil"", `20515` = ""Slc20a1"", `66313` = ""Smurf2"", `21847` = ""Klf10"", `17948` = ""Naip2"", `21873` = ""Tjp2"", `18550` = ""Furin"", `11477` = ""Acvr1"", `17131` = ""Smad7"", `19045` = ""Ppp1ca"", `17872` = ""Ppp1r15a"", 
`12550` = ""Cdh1"", `17126` = ""Smad2"", `19043` = ""Ppm1b"", `94093` = ""Trim33"", `16477` = ""Junb"", `20516` = ""Slc20a2"", `11789` = ""Apc"", `12166` = ""Bmpr1a"", `26409` = ""Map3k7"", `18553` = ""Pcsk6"", `29815` = ""Bcar3"", `15980` = ""Ifngr2"", `56550` = ""Ube2d2a"", `269275` = ""Acvr1c"")"
"2","HALLMARK_APICAL_JUNCTION",6.49892934147835e-10,1.08315489024639e-08,0.801215574617779,0.484529636684557,2.10418015576311,190,"c(`20563` = ""Slit2"", `16774` = ""Lama3"", `98660` = ""Atp1a2"", `12740` = ""Cldn4"", `14783` = ""Grb10"", `100017` = ""Ldlrap1"", `16782` = ""Lamc2"", `286940` = ""Flnb"", `192897` = ""Itgb4"", `21872` = ""Tjp1"", `384783` = ""Irs2"", `13867` = ""Erbb3"", `12153` = ""Bmp1"", `12387` = ""Ctnnb1"", `16780` = ""Lamb3"", `13649` = ""Egfr"", `12739` = ""Cldn3"", `22323` = ""Vasp"", `76709` = ""Arpc2"", `75599` = ""Pcdh1"", `52118` = ""Pvr"", `108100` = ""Baiap2"", `14786` = ""Grb7"", `12827` = ""Col4a2"", `192113` = ""Atp12a"", `16400` = ""Itga3"", `22350` = ""Ezr"", 
`231070` = ""Insig1"", `16151` = ""Ikbkg"", `21828` = ""Thbs4"", `14012` = ""Mpzl2"", `18176` = ""Nras"", `22629` = ""Ywhah"", `20130` = ""Rras"", `20312` = ""Cx3cl1"", `23797` = ""Akt3"", `16480` = ""Jup"", `12331` = ""Cap1"", `19684` = ""Rdx"", `13866` = ""Erbb2"", `16398` = ""Itga2"", `12385` = ""Ctnna1"", `11461` = ""Actb"", `21933` = ""Tnfrsf10b"", `12388` = ""Ctnnd1"", `235130` = ""Adamts15"", `21873` = ""Tjp2"", `53624` = ""Cldn7"", `17886` = ""Myh9"", `12550` = ""Cdh1"", `20779` = ""Src"", `19353` = ""Rac1"", `53310` = ""Dlg3"", `54126` = ""Arhgef7"", 
`20416` = ""Shc1"", `14083` = ""Ptk2"", `20963` = ""Syk"", `14677` = ""Gnai1"", `60595` = ""Actn4"", `11502` = ""Adam9"", `54353` = ""Skap2"", `71960` = ""Myh14"", `14678` = ""Gnai2"", `330177` = ""Taok3"", `18706` = ""Pik3ca"", `74769` = ""Pik3cb"", `13506` = ""Dsc2"", `18643` = ""Pfn1"", `65970` = ""Lima1"", `22612` = ""Yes1"", `12490` = ""Cd34"", `216965` = ""Taok1"", `16653` = ""Kras"", `218397` = ""Rasa1"")"
"3","HALLMARK_P53_PATHWAY",6.48374205004834e-08,6.48374205004834e-07,0.704975715167238,0.438123734101375,1.94059958191647,213,"c(`99663` = ""Clca4a"", `11486` = ""Ada"", `13836` = ""Epha2"", `26570` = ""Slc7a11"", `12227` = ""Btg2"", `12226` = ""Btg1"", `71795` = ""Pitpnc1"", `64058` = ""Perp"", `192897` = ""Itgb4"", `18132` = ""Notch4"", `16970` = ""Lrmp"", `20194` = ""S100a10"", `18415` = ""Hspa4l"", `12795` = ""Plk3"", `50709` = ""H1f4"", `12156` = ""Bmp2"", `74012` = ""Rap2b"", `108100` = ""Baiap2"", `20969` = ""Sdc1"", `15468` = ""Prmt2"", `27416` = ""Abcc5"", `16598` = ""Klf2"", `22320` = ""Vamp8"", `56464` = ""Ctsf"", `18845` = ""Plxna2"", `12575` = ""Cdkn1a"", `18176` = ""Nras"", 
`74747` = ""Ddit4"", `319192` = ""H2ac19"", `56338` = ""Txnip"", `17988` = ""Ndrg1"", `13830` = ""Stom"", `239273` = ""Abcc4"", `55948` = ""Sfn"", `15525` = ""Hspa4"", `12606` = ""Cebpa"", `50708` = ""H1f2"", `18844` = ""Plxna1"", `17119` = ""Mxd1"", `116914` = ""Slc19a2"", `19730` = ""Ralgds"", `15200` = ""Hbegf"", `17872` = ""Ppp1r15a"", `107568` = ""Wwp1"", `20724` = ""Serpinb5"", `12450` = ""Ccng1"", `224624` = ""Rab40c"", `12444` = ""Ccnd2"", `18590` = ""Pdgfa"", `23844` = ""Clca1"", `53619` = ""Blcap"", `56484` = ""Foxo3"", `21802` = ""Tgfa"", 
`14281` = ""Fos"", `16396` = ""Itch"", `16878` = ""Lif"", `13139` = ""Dgka"", `235611` = ""Plxnb1"", `11910` = ""Atf3"", `20430` = ""Cyfip1"", `319164` = ""H2ac6"", `13663` = ""Ei24"", `16653` = ""Kras"", `70925` = ""Cdkn2aip"", `68558` = ""Ankra2"", `15937` = ""Ier3"", `17347` = ""Mknk2"", `76654` = ""Upp2"", `19143` = ""St14"", `17164` = ""Mapkapk2"", `105501` = ""Abhd4"", `269275` = ""Acvr1c"", `20683` = ""Sp1"", `319162` = ""H2aw"", `19079` = ""Prkab1"", `17246` = ""Mdm2"", `99709` = ""Clca4b"", `20181` = ""Rxra"", `67776` = ""Vwa5a"", `30945` = ""Rnf19a"", 
`13848` = ""Ephb6"", `13845` = ""Ephb3"", `98845` = ""Eps8l2"", `16179` = ""Irak1"")"
"4","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.97609813141322e-07,1.64674844284435e-06,0.690132458796796,0.441516117616001,1.9367731953511,199,"c(`20525` = ""Slc2a1"", `56386` = ""B4galt6"", `319520` = ""Dusp4"", `65112` = ""Pmepa1"", `12227` = ""Btg2"", `23849` = ""Klf6"", `17133` = ""Maff"", `20725` = ""Serpinb8"", `12226` = ""Btg1"", `14066` = ""F3"", `384783` = ""Irs2"", `50723` = ""Icosl"", `17127` = ""Smad3"", `22113` = ""Phlda2"", `16780` = ""Lamb3"", `18793` = ""Plaur"", `13614` = ""Edn1"", `67399` = ""Pdlim7"", `14282` = ""Fosb"", `14283` = ""Fosl1"", `12156` = ""Bmp2"", `240672` = ""Dusp5"", `15945` = ""Cxcl10"", `20893` = ""Bhlhe40"", `21664` = ""Phlda1"", `11853` = ""Rhoc"", `18627` = ""Per2"", 
`20719` = ""Serpinb6a"", `74646` = ""Spsb1"", `98878` = ""Ehd4"", `16598` = ""Klf2"", `26397` = ""Map2k3"", `11852` = ""Rhob"", `12575` = ""Cdkn1a"", `19252` = ""Dusp1"", `18626` = ""Per1"", `54446` = ""Nfat5"", `17210` = ""Mcl1"", `11848` = ""Rhoa"", `13653` = ""Egr1"", `22359` = ""Vldlr"", `211770` = ""Trib1"", `56722` = ""Litaf"", `320560` = ""Dennd5b"", `14063` = ""F2rl1"", `21847` = ""Klf10"", `18412` = ""Sqstm1"", `20623` = ""Snrk"", `17119` = ""Mxd1"", `17948` = ""Naip2"", `56376` = ""Pdlim5"", `16195` = ""Il6st"", `12633` = ""Cflar"", `15200` = ""Hbegf"", 
`17872` = ""Ppp1r15a"", `17126` = ""Smad2"", `19697` = ""Rela"", `19698` = ""Relb"", `20971` = ""Sdc4"", `18578` = ""Pde4b"", `13636` = ""Efna1"", `16477` = ""Junb"", `14281` = ""Fos"", `16878` = ""Lif"", `11910` = ""Atf3"", `14528` = ""Gch1"", `22695` = ""Zfp36"", `108767` = ""Pnrc1"", `11305` = ""Abca2"", `15937` = ""Ier3"", `17691` = ""Sik1"", `81489` = ""Dnajb1"", `15980` = ""Ifngr2"", `14284` = ""Fosl2"", `108079` = ""Prkaa2"", `19219` = ""Ptger4"", `57783` = ""Tnip1"", `216850` = ""Kdm6b"", `12053` = ""Bcl6"", `71586` = ""Ifih1"", `22339` = ""Vegfa"", 
`18640` = ""Pfkfb2"")"
"5","HALLMARK_UV_RESPONSE_DN",5.83742996482384e-07,4.16959283201703e-06,0.659444398037935,0.433287794258838,1.88079661211293,184,"c(`319520` = ""Dusp4"", `18858` = ""Pmp22"", `14362` = ""Fzd1"", `16782` = ""Lamc2"", `14200` = ""Fhl2"", `21872` = ""Tjp1"", `14066` = ""F3"", `384783` = ""Irs2"", `18132` = ""Notch4"", `12394` = ""Runx1"", `13867` = ""Erbb3"", `17127` = ""Smad3"", `19663` = ""Rbpms"", `12306` = ""Anxa2"", `13649` = ""Egfr"", `67399` = ""Pdlim7"", `223435` = ""Trio"", `59125` = ""Nek7"", `20893` = ""Bhlhe40"", `12827` = ""Col4a2"", `114713` = ""Rasa2"", `234515` = ""Inpp4b"", `27416` = ""Abcc5"", `13170` = ""Dbp"", `20975` = ""Synj2"", `231070` = ""Insig1"", `57810` = ""Cdon"", 
`19252` = ""Dusp1"", `23797` = ""Akt3"", `18755` = ""Prkch"", `12331` = ""Cap1"", `239273` = ""Abcc4"", `20238` = ""Atxn1"", `22359` = ""Vldlr"", `13866` = ""Erbb2"", `17388` = ""Mmp15"", `213109` = ""Phf3"", `21873` = ""Tjp2"", `56376` = ""Pdlim5"", `19882` = ""Mst1r"", `17131` = ""Smad7"", `20779` = ""Src"", `53310` = ""Dlg3"", `17126` = ""Smad2"", `328365` = ""Zmiz1"", `69219` = ""Ddah1"", `109552` = ""Sri"", `11518` = ""Add1"", `18706` = ""Pik3ca"", `14537` = ""Gcnt1"", `74769` = ""Pik3cb"", `217166` = ""Nr1d1"", `17295` = ""Met"", `217866` = ""Cdc42bpb"", 
`219140` = ""Spata13"", `69562` = ""Cdk13"", `22612` = ""Yes1"", `13548` = ""Dyrk1a"", `353187` = ""Nr1d2"", `21813` = ""Tgfbr2"", `12166` = ""Bmpr1a"", `19016` = ""Pparg"", `74194` = ""Rnd3"", `207615` = ""Wdr37"", `18754` = ""Prkce"")"
"6","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.29737916346984e-05,5.89717801577198e-05,0.593325476396405,0.449376581419998,1.87204192236622,135,"c(`54725` = ""Cadm1"", `20563` = ""Slit2"", `12332` = ""Capg"", `16774` = ""Lama3"", `18858` = ""Pmp22"", `65112` = ""Pmepa1"", `16782` = ""Lamc2"", `23959` = ""Nt5e"", `22003` = ""Tpm1"", `18132` = ""Notch4"", `12153` = ""Bmp1"", `20254` = ""Scg2"", `18793` = ""Plaur"", `11803` = ""Aplp1"", `22004` = ""Tpm2"", `21859` = ""Timp3"", `16410` = ""Itgav"", `16420` = ""Itgb6"", `52118` = ""Pvr"", `20969` = ""Sdc1"", `11853` = ""Rhoc"", `13601` = ""Ecm1"", `12827` = ""Col4a2"", `16419` = ""Itgb5"", `11852` = ""Rhob"", `21828` = ""Thbs4"", `12331` = ""Cap1"", 
`11848` = ""Rhoa"", `102857` = ""Slc6a8"", `16398` = ""Itga2"", `17388` = ""Mmp15"", `11461` = ""Actb"", `21933` = ""Tnfrsf10b"", `13518` = ""Dst"", `433182` = ""Eno1b"", `12550` = ""Cdh1"", `16009` = ""Igfbp3"", `13806` = ""Eno1"", `20971` = ""Sdc4"", `16010` = ""Igfbp4"", `68553` = ""Col6a4"", `18643` = ""Pfn1"")"
"7","HALLMARK_IL2_STAT5_SIGNALING",2.20756755290039e-06,1.22642641827799e-05,0.627256739718528,0.416203679986028,1.82645228453068,203,"c(`20525` = ""Slc2a1"", `12332` = ""Capg"", `18612` = ""Etv4"", `80981` = ""Arl4d"", `23959` = ""Nt5e"", `23849` = ""Klf6"", `17133` = ""Maff"", `24066` = ""Spry4"", `20725` = ""Serpinb8"", `433926` = ""Lrrc8b"", `677884` = ""Pakap"", `12577` = ""Cdkn1c"", `17978` = ""Ncoa2"", `18671` = ""Abcb1a"", `114716` = ""Spred2"", `11803` = ""Aplp1"", `18810` = ""Plec"", `16410` = ""Itgav"", `12156` = ""Bmp2"", `15945` = ""Cxcl10"", `20893` = ""Bhlhe40"", `21664` = ""Phlda1"", `11853` = ""Rhoc"", `13601` = ""Ecm1"", `20719` = ""Serpinb6a"", `12048` = ""Bcl2l1"", 
`13730` = ""Emp1"", `12334` = ""Capn2"", `94185` = ""Tnfrsf21"", `209378` = ""Itih5"", `11520` = ""Plin2"", `72267` = ""Lrrc8e"", `11852` = ""Rhob"", `18452` = ""P4ha2"", `71602` = ""Myo1e"", `66395` = ""Ahnak"", `18755` = ""Prkch"", `11848` = ""Rhoa"", `15275` = ""Hk1"", `17988` = ""Ndrg1"", `241296` = ""Lrrc8a"", `102747` = ""Lrrc49"", `55932` = ""Gbp3"", `320560` = ""Dennd5b"", `22038` = ""Plscr1"", `12367` = ""Casp3"", `17913` = ""Myo1c"", `13518` = ""Dst"", `29809` = ""Rabgap1l"", `17119` = ""Mxd1"", `18550` = ""Furin"", `216233` = ""Socs2"", 
`11658` = ""Alcam"", `54139` = ""Irf6"", `18438` = ""P2rx4"", `66616` = ""Snx9"", `170725` = ""Capn8"", `18451` = ""P4ha1"", `12444` = ""Ccnd2"", `73647` = ""Capn9"", `20973` = ""Syngr2"", `65960` = ""Twsg1"", `16878` = ""Lif"", `20430` = ""Cyfip1"", `229900` = ""Gbp7"", `227800` = ""Rabgap1"", `107702` = ""Rnh1"", `213056` = ""Fam126b"", `18754` = ""Prkce"", `54170` = ""Rragc"", `21898` = ""Tlr4"", `21938` = ""Tnfrsf1b"", `17164` = ""Mapkapk2"", `18553` = ""Pcsk6"", `57319` = ""Smpdl3a"")"
"8","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.04799407388181e-05,5.23997036940904e-05,0.593325476396405,0.407843646689191,1.78906411631583,199,"c(`20525` = ""Slc2a1"", `16663` = ""Krt13"", `106572` = ""Rab31"", `171180` = ""Syt12"", `20856` = ""Stc2"", `14200` = ""Fhl2"", `93736` = ""Aff4"", `76453` = ""Prss23"", `286940` = ""Flnb"", `229595` = ""Adamtsl4"", `58801` = ""Pmaip1"", `30805` = ""Slc22a4"", `18442` = ""P2ry2"", `268527` = ""Greb1"", `225115` = ""Svil"", `16668` = ""Krt18"", `94249` = ""Slc24a3"", `207920` = ""Esrp1"", `17965` = ""Nbl1"", `20893` = ""Bhlhe40"", `20276` = ""Scnn1a"", `17776` = ""Mast2"", `55963` = ""Slc1a4"", `98952` = ""Fam102a"", `16598` = ""Klf2"", `76025` = ""Cant1"", 
`75007` = ""Mindy1"", `55948` = ""Sfn"", `22234` = ""Ugcg"", `207596` = ""Thsd4"", `66270` = ""Retreg1"", `12396` = ""Cbfa2t2"", `381157` = ""Greb1l"", `54608` = ""Abhd2"", `21847` = ""Klf10"", `20347` = ""Sema3b"", `77411` = ""Esrp2"", `16195` = ""Il6st"", `116914` = ""Slc19a2"", `53624` = ""Cldn7"", `17762` = ""Mapt"", `110651` = ""Rps6ka3"", `76459` = ""Car12"", `17355` = ""Aff1"", `22248` = ""Unc119"", `226101` = ""Myof"", `64292` = ""Ptges"", `11854` = ""Rhod"", `193796` = ""Kdm4b"", `171531` = ""Mlph"", `328329` = ""Mast4"", `11518` = ""Add1"", 
`101490` = ""Inpp5f"", `217837` = ""Itpk1"", `71946` = ""Endod1"", `16691` = ""Krt8"", `211652` = ""Wwc1"", `16452` = ""Jak2"", `16010` = ""Igfbp4"", `76199` = ""Med13l"", `16669` = ""Krt19"", `14281` = ""Fos"", `23802` = ""Amfr"", `14137` = ""Fdft1"", `230603` = ""Ttc39a"", `16451` = ""Jak1"", `223254` = ""Farp1"")"
"9","HALLMARK_HYPOXIA",1.498522437927e-05,6.2438434913625e-05,0.593325476396405,0.398963823070306,1.75079755689887,203,"c(`20525` = ""Slc2a1"", `66681` = ""Pgm2"", `21753` = ""Tes"", `319520` = ""Dusp4"", `20856` = ""Stc2"", `23849` = ""Klf6"", `17133` = ""Maff"", `12177` = ""Bnip3l"", `12226` = ""Btg1"", `14433` = ""Gapdh"", `12577` = ""Cdkn1c"", `14066` = ""F3"", `384783` = ""Irs2"", `13867` = ""Erbb3"", `12306` = ""Anxa2"", `13649` = ""Egfr"", `18793` = ""Plaur"", `16574` = ""Kif5c"", `54683` = ""Prdx5"", `12452` = ""Ccng2"", `20893` = ""Bhlhe40"", `12827` = ""Col4a2"", `74155` = ""Errfi1"", `17035` = ""Lxn"", `11520` = ""Plin2"", `11717` = ""Ampd3"", `12575` = ""Cdkn1a"", 
`18452` = ""P4ha2"", `109042` = ""Cavin3"", `19252` = ""Dusp1"", `74747` = ""Ddit4"", `11676` = ""Aldoc"", `15275` = ""Hk1"", `17988` = ""Ndrg1"", `11674` = ""Aldoa"", `22359` = ""Vldlr"", `13866` = ""Erbb2"", `14538` = ""Gcnt2"", `108829` = ""Jmjd1c"", `15476` = ""Hs3st1"", `433182` = ""Eno1b"", `109263` = ""Rlf"", `76459` = ""Car12"", `17872` = ""Ppp1r15a"", `18770` = ""Pklr"", `17886` = ""Myh9"", `26401` = ""Map3k1"", `16009` = ""Igfbp3"", `13806` = ""Eno1"", `18641` = ""Pfkl"", `18451` = ""P4ha1"", `20971` = ""Sdc4"", `228026` = ""Pdk1"", `71960` = ""Myh14"", 
